p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.03,-0.5,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.002159,0.00175,0.00261,0.002322,0.001822,0.002741,0.0153,0.01138,0.01741,0.01241,0.003995,0.02555,,,
0.1,0.03,-0.5,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.002244,0.001841,0.00277,0.002214,0.001588,0.002952,0.01392,0.009758,0.01871,0.01499,0.006608,0.02662,-0.4013,-0.9239,0.2536
0.1,0.03,-0.5,0.2,1,FALSE,SBayesS,,,,0.002264,0.001817,0.002739,0.002576,0.002207,0.003065,0.01573,0.01404,0.01774,0.05559,0.04362,0.07081,-0.5264,-0.6857,-0.2074
0.1,0.03,-0.5,0.2,1,FALSE,LDSc,,,,,,,,,,0.01613,0.01278,0.01948,,,,,,
0.1,0.03,-0.5,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.002167,0.001762,0.002639,0.003674,0.002929,0.004312,0.02409,0.01843,0.0272,0.01291,0.004441,0.02549,,,
0.1,0.03,-0.5,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.002249,0.001778,0.002696,0.003459,0.002439,0.004584,0.02199,0.01532,0.02915,0.01508,0.007164,0.02641,-0.4279,-0.9474,0.2995
0.1,0.03,-0.5,0.2,1,TRUE,SBayesS,,,,0.002241,0.001842,0.002714,0.004028,0.003393,0.004778,0.02394,0.02132,0.02767,0.06768,0.04847,0.08491,-0.2954,-0.3826,-0.2202
0.1,0.03,-0.5,0.2,1,TRUE,LDSc,,,,,,,,,,0.02522,0.01998,0.03046,,,,,,
0.1,0.03,-1,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,3,0.0001371,4.729e-05,0.0002838,0.000103,4.147e-05,0.0001859,0.002836,0.001751,0.004263,0.004888,0.001303,0.02243,,,
0.1,0.03,-1,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,5,0.0001404,4.36e-05,0.0002816,0.0001418,3.654e-05,0.0003618,0.003122,0.001143,0.006318,0.008562,0.002458,0.02417,0.1652,-0.921,0.5
0.1,0.03,-1,0.02,1,FALSE,SBayesS,,,,0.000155,5.403e-05,0.0002997,0.0002353,0.0001421,0.0003732,0.004186,0.003313,0.005997,0.05835,0.04645,0.07436,-0.4723,-0.7772,-0.2316
0.1,0.03,-1,0.02,1,FALSE,LDSc,,,,,,,,,,0.003599,0.001071,0.006126,,,,,,
0.1,0.03,-1,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,4,0.000138,4.261e-05,0.0002757,0.001367,0.0004316,0.002465,0.03949,0.01921,0.05352,0.008274,0.0009338,0.0178,,,
0.1,0.03,-1,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,7,0.0001406,4.512e-05,0.0002885,0.002323,0.0004673,0.005108,0.04736,0.01288,0.08304,0.01082,0.002995,0.02065,0.1349,-0.6926,0.5
0.1,0.03,-1,0.02,1,TRUE,SBayesS,,,,0.0001733,6.726e-05,0.0003253,0.002718,0.001687,0.004068,0.05039,0.04012,0.06491,0.06647,0.05283,0.0821,-0.2117,-0.451,-0.04396
0.1,0.03,-1,0.02,1,TRUE,LDSc,,,,,,,,,,0.04633,0.01404,0.07862,,,,,,
0.1,0.03,-1,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,31,0.001973,0.001582,0.00244,0.001867,0.001512,0.0022,0.0137,0.01108,0.01536,0.01248,0.004835,0.02473,,,
0.1,0.03,-1,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,22,0.001903,0.001518,0.002359,0.001792,0.001186,0.002503,0.01261,0.008334,0.01737,0.01043,0.003993,0.021,-0.7029,-1.047,-0.151
0.1,0.03,-1,0.2,1,FALSE,SBayesS,,,,0.002005,0.001595,0.002456,0.002092,0.001736,0.002535,0.01449,0.01231,0.01656,0.04399,0.03539,0.05401,-0.6775,-0.7924,-0.4253
0.1,0.03,-1,0.2,1,FALSE,LDSc,,,,,,,,,,0.01396,0.009816,0.0181,,,,,,
0.1,0.03,-1,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,13,0.001871,0.001473,0.002373,0.002827,0.002158,0.003386,0.02058,0.01434,0.02373,0.009172,0.002581,0.02063,,,
0.1,0.03,-1,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,23,0.001918,0.001515,0.002356,0.002809,0.001839,0.003968,0.01995,0.01292,0.0273,0.01092,0.004358,0.02138,-0.7251,-1.059,-0.1568
0.1,0.03,-1,0.2,1,TRUE,SBayesS,,,,0.001983,0.001532,0.002424,0.003219,0.002632,0.00394,0.02226,0.01886,0.02585,0.04887,0.03846,0.0615,-0.6343,-0.6953,-0.5081
0.1,0.03,-1,0.2,1,TRUE,LDSc,,,,,,,,,,0.02176,0.01531,0.02822,,,,,,
0.1,0.1,0,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,42,0.001399,0.001044,0.001798,0.001711,0.001317,0.002054,0.01267,0.009358,0.01451,0.01076,0.003423,0.02211,,,
0.1,0.1,0,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,43,0.001507,0.00115,0.00192,0.001697,0.001097,0.002352,0.0113,0.007261,0.01512,0.0125,0.004664,0.02328,0.1925,-0.4365,0.5
0.1,0.1,0,0.02,1,FALSE,SBayesS,,,,0.001495,0.001142,0.001898,0.001954,0.001606,0.002372,0.0129,0.01104,0.01512,0.05662,0.04321,0.07151,-0.1271,-0.2591,0.04841
0.1,0.1,0,0.02,1,FALSE,LDSc,,,,,,,,,,0.01618,0.01184,0.02052,,,,,,
0.1,0.1,0,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,45,0.001404,0.001064,0.001807,0.02164,0.01704,0.02604,0.1612,0.1247,0.1836,0.0111,0.004114,0.02233,,,
0.1,0.1,0,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,47,0.001519,0.001151,0.001939,0.02217,0.01506,0.03046,0.1466,0.09877,0.1959,0.01375,0.006252,0.02478,0.2527,-0.4064,0.5
0.1,0.1,0,0.02,1,TRUE,SBayesS,,,,0.001472,0.001112,0.001865,0.02447,0.02047,0.02942,0.1621,0.1448,0.1875,0.06172,0.04394,0.07464,-0.1663,-0.316,-0.05026
0.1,0.1,0,0.02,1,TRUE,LDSc,,,,,,,,,,0.2066,0.1513,0.2619,,,,,,
0.1,0.1,0,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.01545,0.01434,0.01665,0.01509,0.01402,0.01608,0.04662,0.04204,0.05005,0.02014,0.01185,0.03149,,,
0.1,0.1,0,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.0162,0.01497,0.01748,0.01502,0.01344,0.01663,0.0437,0.03833,0.04915,0.02589,0.01748,0.03634,0.04832,-0.2535,0.398
0.1,0.1,0,0.2,1,FALSE,SBayesS,,,,0.01644,0.01521,0.01769,0.01624,0.01537,0.01734,0.04742,0.04514,0.0506,0.1101,0.08589,0.129,0.005758,-0.0713,0.07219
0.1,0.1,0,0.2,1,FALSE,LDSc,,,,,,,,,,0.05392,0.04852,0.05931,,,,,,
0.1,0.1,0,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.01546,0.01431,0.01665,0.02354,0.02183,0.02502,0.07282,0.06531,0.0783,0.02032,0.0117,0.03246,,,
0.1,0.1,0,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.0162,0.01502,0.01744,0.02348,0.02094,0.02611,0.06809,0.05955,0.07679,0.02581,0.01716,0.03631,0.03571,-0.2832,0.4004
